artifact,scope,status,generator,evidence,notes,current_path,disposition
2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/TJK/forecasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py:327-333 path map; 349-357 CSV/json writes and os.replace; 879 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/TJK/forecasting_predictions.csv,retained
2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/TJK/manifest.json,checkpoint,generated_confirmed,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py:327-333 path map; 349-357 CSV/json writes and os.replace; 879 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/TJK/manifest.json,retained
2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/TJK/nowcasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py:327-333 path map; 349-357 CSV/json writes and os.replace; 879 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/TJK/nowcasting_predictions.csv,retained
2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/TZA/forecasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py:327-333 path map; 349-357 CSV/json writes and os.replace; 879 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/TZA/forecasting_predictions.csv,retained
2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/TZA/manifest.json,checkpoint,generated_confirmed,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py:327-333 path map; 349-357 CSV/json writes and os.replace; 879 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/TZA/manifest.json,retained
2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/TZA/nowcasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py:327-333 path map; 349-357 CSV/json writes and os.replace; 879 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/TZA/nowcasting_predictions.csv,retained
2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/UGA/forecasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py:327-333 path map; 349-357 CSV/json writes and os.replace; 879 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/UGA/forecasting_predictions.csv,retained
2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/UGA/manifest.json,checkpoint,generated_confirmed,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py:327-333 path map; 349-357 CSV/json writes and os.replace; 879 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/UGA/manifest.json,retained
2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/UGA/nowcasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py:327-333 path map; 349-357 CSV/json writes and os.replace; 879 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/UGA/nowcasting_predictions.csv,retained
2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/YEM/forecasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py:327-333 path map; 349-357 CSV/json writes and os.replace; 879 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/YEM/forecasting_predictions.csv,retained
2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/YEM/manifest.json,checkpoint,generated_confirmed,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py:327-333 path map; 349-357 CSV/json writes and os.replace; 879 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/YEM/manifest.json,retained
2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/YEM/nowcasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py:327-333 path map; 349-357 CSV/json writes and os.replace; 879 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/YEM/nowcasting_predictions.csv,retained
2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/ZAF/forecasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py:327-333 path map; 349-357 CSV/json writes and os.replace; 879 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/ZAF/forecasting_predictions.csv,retained
2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/ZAF/manifest.json,checkpoint,generated_confirmed,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py:327-333 path map; 349-357 CSV/json writes and os.replace; 879 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/ZAF/manifest.json,retained
2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/ZAF/nowcasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py:327-333 path map; 349-357 CSV/json writes and os.replace; 879 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/ZAF/nowcasting_predictions.csv,retained
2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/ZMB/forecasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py:327-333 path map; 349-357 CSV/json writes and os.replace; 879 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/ZMB/forecasting_predictions.csv,retained
2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/ZMB/manifest.json,checkpoint,generated_confirmed,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py:327-333 path map; 349-357 CSV/json writes and os.replace; 879 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/ZMB/manifest.json,retained
2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/ZMB/nowcasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py,2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py:327-333 path map; 349-357 CSV/json writes and os.replace; 879 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.strict_temporal_loco_checkpoints/ZMB/nowcasting_predictions.csv,retained
2.Source Code/produced_graph/Picture1.jpg,artifact,generated_confirmed,2.Source Code/Figure4_Descriptives.ipynb,"0-based cell 1:8 OUTPUT_DIR=Path(""produced_graph""); cell 4:50 plt.savefig(OUTPUT_DIR / ""Picture1.jpg"").",Writer coverage only; no training or reproduction executed.,2.Source Code/produced_graph/Picture1.jpg,retained
2.Source Code/produced_graph/Picture2.jpg,artifact,generated_confirmed,2.Source Code/Figure4_Descriptives.ipynb,"0-based cell 1:8 OUTPUT_DIR=Path(""produced_graph""); cell 6:38 plt.savefig(OUTPUT_DIR / ""Picture2.jpg"").",Writer coverage only; no training or reproduction executed.,2.Source Code/produced_graph/Picture2.jpg,retained
2.Source Code/produced_graph/PictureS2.jpg,artifact,generated_confirmed,2.Source Code/figuresS1_hyperparameter.ipynb,"0-based cell 1:99-100 plt.savefig(""produced_graph/PictureS2.jpg"").",Writer coverage only; no training or reproduction executed.,2.Source Code/produced_graph/PictureS2.jpg,retained
2.Source Code/produced_graph/accuracy_barchart_nature.jpg,artifact,generated_confirmed,2.Source Code/Figure1_multiple_figures.ipynb:342 (cell 6),"fig.savefig('produced_graph/accuracy_barchart_nature.jpg', bbox_inches='tight')","Exact filename and root produced_graph destination; static writer coverage only, no regeneration.",2.Source Code/produced_graph/accuracy_barchart_nature.jpg,retained
2.Source Code/produced_graph/all_prediction_contemporaneous_random_cv_predictions.csv,artifact,generated_confirmed,2.Source Code/generate_all_prediction_evaluation.py:490,"Output directory :34, exact stems :95-100, paths :484-488; predictions.to_csv / audit.to_csv.","Exact filename and root produced_graph destination; static writer coverage only, no regeneration.",2.Source Code/produced_graph/all_prediction_contemporaneous_random_cv_predictions.csv,retained
2.Source Code/produced_graph/all_prediction_contemporaneous_random_cv_source_audit.csv,artifact,generated_confirmed,2.Source Code/generate_all_prediction_evaluation.py:496,"Output directory :34, exact stems :95-100, paths :484-488; predictions.to_csv / audit.to_csv.","Exact filename and root produced_graph destination; static writer coverage only, no regeneration.",2.Source Code/produced_graph/all_prediction_contemporaneous_random_cv_source_audit.csv,retained
2.Source Code/produced_graph/conflict_perturbation_10pct/audit.json,artifact,generated_confirmed,2.Source Code/generate_conflict_perturbation.py,2.Source Code/generate_conflict_perturbation.py:21 output directory; 189 audit.json write_text,Static writer coverage only; no execution or byte-identical regeneration verified. Existing directory is refused at lines 63-64.,2.Source Code/produced_graph/conflict_perturbation_10pct/audit.json,retained
2.Source Code/produced_graph/conflict_perturbation_10pct/forecasting_phase2_model.json,artifact,generated_confirmed,2.Source Code/generate_conflict_perturbation.py,"2.Source Code/generate_conflict_perturbation.py:21 output directory; 174 model.save_model(OUTPUT / f""forecasting_phase{phase}_model.json"")",Static writer coverage only; no execution or byte-identical regeneration verified. Existing directory is refused at lines 63-64.,2.Source Code/produced_graph/conflict_perturbation_10pct/forecasting_phase2_model.json,retained
2.Source Code/produced_graph/conflict_perturbation_10pct/forecasting_phase3_model.json,artifact,generated_confirmed,2.Source Code/generate_conflict_perturbation.py,"2.Source Code/generate_conflict_perturbation.py:21 output directory; 174 model.save_model(OUTPUT / f""forecasting_phase{phase}_model.json"")",Static writer coverage only; no execution or byte-identical regeneration verified. Existing directory is refused at lines 63-64.,2.Source Code/produced_graph/conflict_perturbation_10pct/forecasting_phase3_model.json,retained
2.Source Code/produced_graph/conflict_perturbation_10pct/forecasting_phase4_model.json,artifact,generated_confirmed,2.Source Code/generate_conflict_perturbation.py,"2.Source Code/generate_conflict_perturbation.py:21 output directory; 174 model.save_model(OUTPUT / f""forecasting_phase{phase}_model.json"")",Static writer coverage only; no execution or byte-identical regeneration verified. Existing directory is refused at lines 63-64.,2.Source Code/produced_graph/conflict_perturbation_10pct/forecasting_phase4_model.json,retained
2.Source Code/produced_graph/conflict_perturbation_10pct/forecasting_phase5_model.json,artifact,generated_confirmed,2.Source Code/generate_conflict_perturbation.py,"2.Source Code/generate_conflict_perturbation.py:21 output directory; 174 model.save_model(OUTPUT / f""forecasting_phase{phase}_model.json"")",Static writer coverage only; no execution or byte-identical regeneration verified. Existing directory is refused at lines 63-64.,2.Source Code/produced_graph/conflict_perturbation_10pct/forecasting_phase5_model.json,retained
2.Source Code/produced_graph/conflict_perturbation_10pct/paired_predictions.csv,artifact,generated_confirmed,2.Source Code/generate_conflict_perturbation.py,"2.Source Code/generate_conflict_perturbation.py:21 output directory; 170-172 paired_predictions, phase_transitions, summary_metrics to_csv",Static writer coverage only; no execution or byte-identical regeneration verified. Existing directory is refused at lines 63-64.,2.Source Code/produced_graph/conflict_perturbation_10pct/paired_predictions.csv,retained
2.Source Code/produced_graph/conflict_perturbation_10pct/phase_transitions.csv,artifact,generated_confirmed,2.Source Code/generate_conflict_perturbation.py,"2.Source Code/generate_conflict_perturbation.py:21 output directory; 170-172 paired_predictions, phase_transitions, summary_metrics to_csv",Static writer coverage only; no execution or byte-identical regeneration verified. Existing directory is refused at lines 63-64.,2.Source Code/produced_graph/conflict_perturbation_10pct/phase_transitions.csv,retained
2.Source Code/produced_graph/conflict_perturbation_10pct/summary_metrics.csv,artifact,generated_confirmed,2.Source Code/generate_conflict_perturbation.py,"2.Source Code/generate_conflict_perturbation.py:21 output directory; 170-172 paired_predictions, phase_transitions, summary_metrics to_csv",Static writer coverage only; no execution or byte-identical regeneration verified. Existing directory is refused at lines 63-64.,2.Source Code/produced_graph/conflict_perturbation_10pct/summary_metrics.csv,retained
2.Source Code/produced_graph/direct_phase3_vs_phase45_rescue/direct_phase3_vs_phase45_rescue_benchmark_country_macro_metrics.csv,artifact,generated_confirmed,2.Source Code/generate_direct_phase3_vs_phase45_rescue.py,"2.Source Code/generate_direct_phase3_vs_phase45_rescue.py:3628-3646 payload map and _write_csv(frame, staging_dir / name, CSV_SCHEMAS[name]); 3295 to_csv.",Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/direct_phase3_vs_phase45_rescue/direct_phase3_vs_phase45_rescue_benchmark_country_macro_metrics.csv,retained
2.Source Code/produced_graph/direct_phase3_vs_phase45_rescue/direct_phase3_vs_phase45_rescue_benchmark_pooled_metrics.csv,artifact,generated_confirmed,2.Source Code/generate_direct_phase3_vs_phase45_rescue.py,"2.Source Code/generate_direct_phase3_vs_phase45_rescue.py:3628-3646 payload map and _write_csv(frame, staging_dir / name, CSV_SCHEMAS[name]); 3295 to_csv.",Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/direct_phase3_vs_phase45_rescue/direct_phase3_vs_phase45_rescue_benchmark_pooled_metrics.csv,retained
2.Source Code/produced_graph/direct_phase3_vs_phase45_rescue/direct_phase3_vs_phase45_rescue_benchmark_predictions.csv,artifact,generated_confirmed,2.Source Code/generate_direct_phase3_vs_phase45_rescue.py,"2.Source Code/generate_direct_phase3_vs_phase45_rescue.py:3628-3646 payload map and _write_csv(frame, staging_dir / name, CSV_SCHEMAS[name]); 3295 to_csv.",Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/direct_phase3_vs_phase45_rescue/direct_phase3_vs_phase45_rescue_benchmark_predictions.csv,retained
2.Source Code/produced_graph/direct_phase3_vs_phase45_rescue/direct_phase3_vs_phase45_rescue_binary_confusion_atlas.pdf,artifact,generated_confirmed,2.Source Code/generate_direct_phase3_vs_phase45_rescue.py,2.Source Code/generate_direct_phase3_vs_phase45_rescue.py:3677-3686 render calls with main_comparison and binary_confusion_atlas paths; 2977-2983 figure.savefig.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/direct_phase3_vs_phase45_rescue/direct_phase3_vs_phase45_rescue_binary_confusion_atlas.pdf,retained
2.Source Code/produced_graph/direct_phase3_vs_phase45_rescue/direct_phase3_vs_phase45_rescue_binary_confusion_atlas.png,artifact,generated_confirmed,2.Source Code/generate_direct_phase3_vs_phase45_rescue.py,2.Source Code/generate_direct_phase3_vs_phase45_rescue.py:3677-3686 render calls with main_comparison and binary_confusion_atlas paths; 2977-2983 figure.savefig.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/direct_phase3_vs_phase45_rescue/direct_phase3_vs_phase45_rescue_binary_confusion_atlas.png,retained
2.Source Code/produced_graph/direct_phase3_vs_phase45_rescue/direct_phase3_vs_phase45_rescue_binary_confusion_matrices.csv,artifact,generated_confirmed,2.Source Code/generate_direct_phase3_vs_phase45_rescue.py,"2.Source Code/generate_direct_phase3_vs_phase45_rescue.py:3628-3646 payload map and _write_csv(frame, staging_dir / name, CSV_SCHEMAS[name]); 3295 to_csv.",Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/direct_phase3_vs_phase45_rescue/direct_phase3_vs_phase45_rescue_binary_confusion_matrices.csv,retained
2.Source Code/produced_graph/direct_phase3_vs_phase45_rescue/direct_phase3_vs_phase45_rescue_bootstrap_draws.csv,artifact,generated_confirmed,2.Source Code/generate_direct_phase3_vs_phase45_rescue.py,"2.Source Code/generate_direct_phase3_vs_phase45_rescue.py:3628-3646 payload map and _write_csv(frame, staging_dir / name, CSV_SCHEMAS[name]); 3295 to_csv.",Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/direct_phase3_vs_phase45_rescue/direct_phase3_vs_phase45_rescue_bootstrap_draws.csv,retained
2.Source Code/produced_graph/direct_phase3_vs_phase45_rescue/direct_phase3_vs_phase45_rescue_bootstrap_summary.csv,artifact,generated_confirmed,2.Source Code/generate_direct_phase3_vs_phase45_rescue.py,"2.Source Code/generate_direct_phase3_vs_phase45_rescue.py:3628-3646 payload map and _write_csv(frame, staging_dir / name, CSV_SCHEMAS[name]); 3295 to_csv.",Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/direct_phase3_vs_phase45_rescue/direct_phase3_vs_phase45_rescue_bootstrap_summary.csv,retained
2.Source Code/produced_graph/direct_phase3_vs_phase45_rescue/direct_phase3_vs_phase45_rescue_configuration.json,artifact,generated_confirmed,2.Source Code/generate_direct_phase3_vs_phase45_rescue.py,"2.Source Code/generate_direct_phase3_vs_phase45_rescue.py:3706 _write_json(configuration, staging_dir / CONFIGURATION_BASENAME); 3304-3307 write_text.",Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/direct_phase3_vs_phase45_rescue/direct_phase3_vs_phase45_rescue_configuration.json,retained
2.Source Code/produced_graph/direct_phase3_vs_phase45_rescue/direct_phase3_vs_phase45_rescue_country_metrics.csv,artifact,generated_confirmed,2.Source Code/generate_direct_phase3_vs_phase45_rescue.py,"2.Source Code/generate_direct_phase3_vs_phase45_rescue.py:3628-3646 payload map and _write_csv(frame, staging_dir / name, CSV_SCHEMAS[name]); 3295 to_csv.",Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/direct_phase3_vs_phase45_rescue/direct_phase3_vs_phase45_rescue_country_metrics.csv,retained
2.Source Code/produced_graph/direct_phase3_vs_phase45_rescue/direct_phase3_vs_phase45_rescue_feature_manifest.csv,artifact,generated_confirmed,2.Source Code/generate_direct_phase3_vs_phase45_rescue.py,"2.Source Code/generate_direct_phase3_vs_phase45_rescue.py:3628-3646 payload map and _write_csv(frame, staging_dir / name, CSV_SCHEMAS[name]); 3295 to_csv.",Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/direct_phase3_vs_phase45_rescue/direct_phase3_vs_phase45_rescue_feature_manifest.csv,retained
2.Source Code/produced_graph/direct_phase3_vs_phase45_rescue/direct_phase3_vs_phase45_rescue_five_class_confusion_matrices.csv,artifact,generated_confirmed,2.Source Code/generate_direct_phase3_vs_phase45_rescue.py,"2.Source Code/generate_direct_phase3_vs_phase45_rescue.py:3628-3646 payload map and _write_csv(frame, staging_dir / name, CSV_SCHEMAS[name]); 3295 to_csv.",Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/direct_phase3_vs_phase45_rescue/direct_phase3_vs_phase45_rescue_five_class_confusion_matrices.csv,retained
2.Source Code/produced_graph/direct_phase3_vs_phase45_rescue/direct_phase3_vs_phase45_rescue_full_balance_forecasting_model.json,artifact,generated_confirmed,2.Source Code/generate_direct_phase3_vs_phase45_rescue.py,2.Source Code/generate_direct_phase3_vs_phase45_rescue.py:2165-2176 dynamic candidate/component paths and _save_published_model; 2081-2082 model.save_model.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/direct_phase3_vs_phase45_rescue/direct_phase3_vs_phase45_rescue_full_balance_forecasting_model.json,retained
2.Source Code/produced_graph/direct_phase3_vs_phase45_rescue/direct_phase3_vs_phase45_rescue_full_balance_nowcasting_layer1_model.json,artifact,generated_confirmed,2.Source Code/generate_direct_phase3_vs_phase45_rescue.py,2.Source Code/generate_direct_phase3_vs_phase45_rescue.py:2165-2176 dynamic candidate/component paths and _save_published_model; 2081-2082 model.save_model.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/direct_phase3_vs_phase45_rescue/direct_phase3_vs_phase45_rescue_full_balance_nowcasting_layer1_model.json,retained
2.Source Code/produced_graph/direct_phase3_vs_phase45_rescue/direct_phase3_vs_phase45_rescue_full_balance_nowcasting_layer2_model.json,artifact,generated_confirmed,2.Source Code/generate_direct_phase3_vs_phase45_rescue.py,2.Source Code/generate_direct_phase3_vs_phase45_rescue.py:2165-2176 dynamic candidate/component paths and _save_published_model; 2081-2082 model.save_model.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/direct_phase3_vs_phase45_rescue/direct_phase3_vs_phase45_rescue_full_balance_nowcasting_layer2_model.json,retained
2.Source Code/produced_graph/direct_phase3_vs_phase45_rescue/direct_phase3_vs_phase45_rescue_gate_pooled_metrics.csv,artifact,generated_confirmed,2.Source Code/generate_direct_phase3_vs_phase45_rescue.py,"2.Source Code/generate_direct_phase3_vs_phase45_rescue.py:3628-3646 payload map and _write_csv(frame, staging_dir / name, CSV_SCHEMAS[name]); 3295 to_csv.",Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/direct_phase3_vs_phase45_rescue/direct_phase3_vs_phase45_rescue_gate_pooled_metrics.csv,retained
2.Source Code/produced_graph/direct_phase3_vs_phase45_rescue/direct_phase3_vs_phase45_rescue_main_comparison.pdf,artifact,generated_confirmed,2.Source Code/generate_direct_phase3_vs_phase45_rescue.py,2.Source Code/generate_direct_phase3_vs_phase45_rescue.py:3677-3686 render calls with main_comparison and binary_confusion_atlas paths; 2977-2983 figure.savefig.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/direct_phase3_vs_phase45_rescue/direct_phase3_vs_phase45_rescue_main_comparison.pdf,retained
2.Source Code/produced_graph/direct_phase3_vs_phase45_rescue/direct_phase3_vs_phase45_rescue_main_comparison.png,artifact,generated_confirmed,2.Source Code/generate_direct_phase3_vs_phase45_rescue.py,2.Source Code/generate_direct_phase3_vs_phase45_rescue.py:3677-3686 render calls with main_comparison and binary_confusion_atlas paths; 2977-2983 figure.savefig.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/direct_phase3_vs_phase45_rescue/direct_phase3_vs_phase45_rescue_main_comparison.png,retained
2.Source Code/produced_graph/direct_phase3_vs_phase45_rescue/direct_phase3_vs_phase45_rescue_model_audit.csv,artifact,generated_confirmed,2.Source Code/generate_direct_phase3_vs_phase45_rescue.py,"2.Source Code/generate_direct_phase3_vs_phase45_rescue.py:3628-3646 payload map and _write_csv(frame, staging_dir / name, CSV_SCHEMAS[name]); 3295 to_csv.",Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/direct_phase3_vs_phase45_rescue/direct_phase3_vs_phase45_rescue_model_audit.csv,retained
2.Source Code/produced_graph/direct_phase3_vs_phase45_rescue/direct_phase3_vs_phase45_rescue_oof_predictions.csv,artifact,generated_confirmed,2.Source Code/generate_direct_phase3_vs_phase45_rescue.py,"2.Source Code/generate_direct_phase3_vs_phase45_rescue.py:3628-3646 payload map and _write_csv(frame, staging_dir / name, CSV_SCHEMAS[name]); 3295 to_csv.",Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/direct_phase3_vs_phase45_rescue/direct_phase3_vs_phase45_rescue_oof_predictions.csv,retained
2.Source Code/produced_graph/direct_phase3_vs_phase45_rescue/direct_phase3_vs_phase45_rescue_oof_stability.csv,artifact,generated_confirmed,2.Source Code/generate_direct_phase3_vs_phase45_rescue.py,"2.Source Code/generate_direct_phase3_vs_phase45_rescue.py:3628-3646 payload map and _write_csv(frame, staging_dir / name, CSV_SCHEMAS[name]); 3295 to_csv.",Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/direct_phase3_vs_phase45_rescue/direct_phase3_vs_phase45_rescue_oof_stability.csv,retained
2.Source Code/produced_graph/direct_phase3_vs_phase45_rescue/direct_phase3_vs_phase45_rescue_selected_policies.csv,artifact,generated_confirmed,2.Source Code/generate_direct_phase3_vs_phase45_rescue.py,"2.Source Code/generate_direct_phase3_vs_phase45_rescue.py:3628-3646 payload map and _write_csv(frame, staging_dir / name, CSV_SCHEMAS[name]); 3295 to_csv.",Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/direct_phase3_vs_phase45_rescue/direct_phase3_vs_phase45_rescue_selected_policies.csv,retained
2.Source Code/produced_graph/direct_phase3_vs_phase45_rescue/direct_phase3_vs_phase45_rescue_source_audit.csv,artifact,generated_confirmed,2.Source Code/generate_direct_phase3_vs_phase45_rescue.py,"2.Source Code/generate_direct_phase3_vs_phase45_rescue.py:3730-3733 _write_csv(source_audit, staging_dir / PREFIX+source_audit.csv); 3295 to_csv.",Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/direct_phase3_vs_phase45_rescue/direct_phase3_vs_phase45_rescue_source_audit.csv,retained
2.Source Code/produced_graph/direct_phase3_vs_phase45_rescue/direct_phase3_vs_phase45_rescue_sqrt_balance_forecasting_model.json,artifact,generated_confirmed,2.Source Code/generate_direct_phase3_vs_phase45_rescue.py,2.Source Code/generate_direct_phase3_vs_phase45_rescue.py:2165-2176 dynamic candidate/component paths and _save_published_model; 2081-2082 model.save_model.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/direct_phase3_vs_phase45_rescue/direct_phase3_vs_phase45_rescue_sqrt_balance_forecasting_model.json,retained
2.Source Code/produced_graph/direct_phase3_vs_phase45_rescue/direct_phase3_vs_phase45_rescue_sqrt_balance_nowcasting_layer1_model.json,artifact,generated_confirmed,2.Source Code/generate_direct_phase3_vs_phase45_rescue.py,2.Source Code/generate_direct_phase3_vs_phase45_rescue.py:2165-2176 dynamic candidate/component paths and _save_published_model; 2081-2082 model.save_model.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/direct_phase3_vs_phase45_rescue/direct_phase3_vs_phase45_rescue_sqrt_balance_nowcasting_layer1_model.json,retained
